email	organisation	legacy_client	reason
mail@sichtbarkeitsmeister.de	allround	allround	aktiv
mail@sichtbarkeitsmeister.de	arctictub	arctictub	aktiv
mail@sichtbarkeitsmeister.de	dr muster	dr-muster	aktiv
mail@sichtbarkeitsmeister.de	droste	droste	aktiv
mail@sichtbarkeitsmeister.de	finedent duesseldorf	finedent-duesseldorf	aktiv
mail@sichtbarkeitsmeister.de	gasanov	gasanov	aktiv
mail@sichtbarkeitsmeister.de	hemmersbach druck	hemmersbach-druck	aktiv
mail@sichtbarkeitsmeister.de	intensivpflege ayags	intensivpflege-ayags	aktiv
ads@sichtbarkeitsmeister.de	naturheilpraxis weber	naturheilpraxis-weber	aktiv
mail@sichtbarkeitsmeister.de	online media atelier	online-media-atelier	aktiv
mail@sichtbarkeitsmeister.de	Roggendorf	roggendorf	aktiv
mail@sichtbarkeitsmeister.de	schoepker	schoepker	aktiv
mail@sichtbarkeitsmeister.de	Sichtbarkeitsmeister	sichtbarkeitsmeister	aktiv
mail@sichtbarkeitsmeister.de	steiner umzuege	steiner-umzuege	aktiv
